animeid,title,genres
87,Mobile Suit Gundam: Char&#039;s Counterattack,"Military, Sci-Fi, Space, Drama, Mecha"
88,Mobile Suit Gundam F91,"Military, Sci-Fi, Space, Drama, Mecha"
89,Mobile Suit Victory Gundam,"Military, Sci-Fi, Space, Drama, Mecha"
90,Mobile Suit Gundam Wing,"Action, Military, Sci-Fi, Space, Drama, Mecha"
91,Mobile Suit Gundam Wing: Endless Waltz,"Action, Drama, Mecha, Military, Sci-Fi, Space"
92,Kidou Shin Seiki Gundam X,"Sci-Fi, Adventure, Space, Drama, Mecha"
93,Mobile Suit Gundam SEED,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi"
94,Mobile Suit Gundam SEED Destiny,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi"
95,Turn A Gundam,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
96,Mobile Fighter G Gundam,"Sci-Fi, Adventure, Space, Comedy, Sports, Drama, Romance, Martial Arts, Mecha"
97,Last Exile,"Action, Sci-Fi, Adventure"
98,Mai-HiME,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai"
99,Mai-Otome,"Comedy, Drama, Fantasy, Magic"
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power"
101,Air,"Slice of Life, Supernatural, Drama, Romance"
102,Aishiteruze Baby★★,"Comedy, Drama, Romance, Shoujo"
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo"
104,Ayashi no Ceres,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo"
105,Boys Be...,"Slice of Life, Comedy, Romance, Shounen"
106,Hana yori Dango,"Drama, Romance, School, Shoujo"
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen"
108,Ou Dorobou Jing in Seventh Heaven,"Adventure, Fantasy, Psychological, Comedy, Shounen"
109,Bakuretsu Tenshi,"Adventure, Comedy, Mecha, Sci-Fi"
110,Chuuka Ichiban!,"Action, Comedy, Drama, Shounen"
111,Corrector Yui,"Sci-Fi, Adventure, Comedy, Magic"
112,Chou Henshin Cosprayers,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi"
113,Uchuu no Stellvia,"Action, Romance, Sci-Fi, Space"
114,Sakigake!! Cromartie Koukou,"Comedy, School, Shounen"
115,El Hazard: The Alternative World,"Adventure, Comedy, Fantasy"
116,El Hazard: The Wanderers,"Adventure, Comedy, Romance, Fantasy"
117,El Hazard: The Magnificent World,"Adventure, Comedy, Fantasy, Romance"
118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy"
119,Final Approach,"Comedy, Drama, Romance, Slice of Life"
120,Fruits Basket,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo"
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
122,Full Moon wo Sagashite,"Music, Comedy, Supernatural, Drama, Romance, Shoujo"
123,Fushigi Yuugi,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo"
124,Fushigi Yuugi: Eikouden,"Adventure, Fantasy, Romance, Drama, Shoujo"
125,Futakoi,"Comedy, Romance, School"
126,Futakoi Alternative,"Comedy, Drama, Romance"
127,Gate Keepers,"Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen"
128,Gate Keepers 21,"Action, Drama, Mecha, Sci-Fi, Shounen"
129,Gensoumaden Saiyuuki,"Adventure, Comedy, Supernatural, Drama, Shounen"
130,Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Fantasy, Josei"
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Fantasy, Josei"
132,GetBackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural"
133,Green Green,"Comedy, Ecchi, Romance, School, Slice of Life"
134,Gunslinger Girl,"Action, Psychological, Military, Drama, Sci-Fi"
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural"
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power"
137,Hunter x Hunter: Yorkshin City Kanketsu-hen,"Action, Adventure, Super Power, Shounen"
138,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power"
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power"
141,Jinki:Extend,"Mecha, Sci-Fi"
142,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo"
143,Kannazuki no Miko,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai"
144,Kanon,"Drama, Romance, Slice of Life, Supernatural"
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo, Slice of Life"
146,Kono Minikuku mo Utsukushii Sekai,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi"
147,Kimi ga Nozomu Eien,"Drama, Romance, Slice of Life"
148,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life"
149,Loveless,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai"
150,Blood+,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
151,Re: Cutey Honey,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai"
152,Solty Rei,"Action, Sci-Fi, Super Power"
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural"
154,Shaman King,"Action, Adventure, Comedy, Supernatural, Drama, Shounen"
155,X/1999,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural"
156,X,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo"
157,Mahou Sensei Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural"
158,Maria-sama ga Miteru,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai"
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural"
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi"
161,Peace Maker Kurogane,"Action, Comedy, Historical, Samurai, Shounen"
162,Pita Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen"
163,Power Stone,"Adventure, Comedy, Fantasy, Historical, Shounen"
164,Mononoke Hime,"Action, Adventure, Fantasy"
165,RahXephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi"
166,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi"
167,Scrapped Princess,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi, Shounen"
168,s.CRY.ed,"Action, Sci-Fi, Adventure, Super Power, Drama"
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire"
170,Slam Dunk,"Comedy, Sports, Drama, School, Shounen"
171,Strange Dawn,"Adventure, Drama, Fantasy"
173,Tactics,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen"
174,Tenjou Tenge,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen"
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power"
176,Triangle Heart: Sweet Songs Forever,"Adventure, Romance"
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen"
178,Ultra Maniac,"Magic, Comedy, Romance, School, Shoujo"
179,Ultra Maniac OVA,"Magic, Comedy, Romance, School"
180,Vandread,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
181,Vandread: The Second Stage,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
182,Tenkuu no Escaflowne,"Adventure, Psychological, Romance, Fantasy, Mecha, Shoujo"
183,Whistle!,"School, Shounen, Sports"
184,Xenosaga The Animation,"Action, Mecha, Sci-Fi, Shounen, Space"
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports"
186,Initial D Second Stage,"Action, Cars, Sports, Drama, Seinen"
187,Initial D Third Stage,"Action, Cars, Sports, Drama, Romance, Seinen"
189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life"
190,Love Hina Again,"Comedy, Drama, Ecchi, Romance, Shounen"
191,Love Hina Christmas Special: Silent Eve,"Slice of Life, Comedy, Romance"
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance"
193,Maburaho,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School"
194,Macross Zero,"Adventure, Mecha, Military, Sci-Fi, Shounen"
195,Onegai☆Teacher,"Sci-Fi, Comedy, Drama, Romance, School"
196,Onegai☆Twins,"Comedy, Drama, Harem, School, Sci-Fi"
197,Rizelmine,"Sci-Fi, Comedy, Romance, Ecchi, School"
198,Speed Grapher,"Action, Mystery, Super Power"
199,Sen to Chihiro no Kamikakushi,"Adventure, Supernatural, Drama"
200,Tenshi na Konamaiki,"Comedy, Magic, Romance, Shounen"
201,Video Girl Ai,"Comedy, Drama, Ecchi, Romance"
202,Wolf&#039;s Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi"
204,Yumeria,"Action, Comedy, Ecchi, Harem, Super Power"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen"
206,Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Magic, Romance, Fantasy"
207,Lodoss-tou Senki,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural"
208,R.O.D OVA,"Action, Adventure, Historical, Magic, Mystery, Sci-Fi"
209,R.O.D the TV,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power"
210,Ranma ½,"Slice of Life, Comedy, Martial Arts, Fantasy"
212,Project A-Ko,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power"
215,Pia Carrot e Youkoso!! 2 DX,"Comedy, Romance"
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"Comedy, Romance"
218,Kidou Senkan Nadesico,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space"
219,Kidou Senkan Nadesico: The Prince of Darkness,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space"
222,Mezzo DSA,"Action, Adventure, Comedy, Mystery, Sci-Fi"
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
225,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power"
226,Elfen Lied,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen"
227,FLCL,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha"
228,Jigoku Shoujo,"Mystery, Horror, Psychological, Supernatural"
229,Ninin ga Shinobuden,"Comedy, Parody, Martial Arts"
230,Air Master,"Action, Comedy, Martial Arts, Seinen"
231,Asagiri no Miko,"Action, Comedy, Drama, Fantasy, Magic, School, Sci-Fi, Shounen, Slice of Life, Super Power, Supernatural"
232,Cardcaptor Sakura,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
233,Daa! Daa! Daa!,"Comedy, Sci-Fi, Shoujo"
234,Dan Doh!!,"Adventure, Sports, Shounen"
235,Detective Conan,"Adventure, Mystery, Comedy, Police, Shounen"
236,E&#039;s Otherwise,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural"
237,Eureka Seven,"Sci-Fi, Adventure, Drama, Romance, Mecha"
238,Rekka no Honoo,"Action, Adventure, Martial Arts, Shounen, Super Power"
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller"
240,Genshiken,"Slice of Life, Comedy, Parody"
241,Girls Bravo: First Season,"Comedy, Ecchi, Fantasy, Harem, Romance, School"
242,Gokusen,"Slice of Life, Comedy, Drama, School, Josei"
243,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai"
244,Agatha Christie no Meitantei Poirot to Marple,"Historical, Mystery"
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life"
246,Groove Adventure Rave,"Adventure, Comedy, Fantasy, Romance, Shounen"
247,Harukanaru Toki no Naka de: Hachiyou Shou,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo"
248,Ichigo 100%,"Comedy, Ecchi, Harem, Romance, Shounen"
249,InuYasha,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
250,Konjiki no Gash Bell!!,"Adventure, Comedy, Supernatural, Magic, Shounen"
251,Kyou kara Maou!,"Adventure, Comedy, Demons, Fantasy, Shoujo"
252,Madlax,"Military, Mystery, Psychological, Supernatural, Drama, Magic, Shounen"
253,Jungle wa Itsumo Hare nochi Guu,"Slice of Life, Comedy, School"
254,Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy, Slice of Life"
255,Jungle wa Itsumo Hare nochi Guu Final,"Slice of Life, Comedy"
256,Hoshi no Koe,"Sci-Fi, Space, Drama, Romance, Mecha"
257,Ikkitousen,"Ecchi, Super Power, Martial Arts, School"
258,Hitsuji no Uta,"Horror, Drama, Vampire"
259,Happy☆Lesson,"Comedy, Harem, Romance, School"
260,Happy☆Lesson (TV),"Comedy, Drama, Harem, Romance, Slice of Life"
261,Happy☆Lesson: Advance,"Comedy, Harem, Romance, Slice of Life"
262,Happy☆Lesson: The Final,"Comedy, Harem, Romance, School"
263,Hajime no Ippo,"Comedy, Sports, Drama, Shounen"
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports"
265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports"
266,Gunparade March: Arata Naru Kougunka,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life"
267,Gungrave,"Action, Drama, Sci-Fi, Seinen, Super Power"
268,Golden Boy,"Adventure, Comedy, Ecchi"
269,Bleach,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
270,Hellsing,"Action, Horror, Supernatural, Vampire, Seinen"
271,Gad Guard,"Sci-Fi, Adventure, Mecha, Shounen"
272,Noir,"Action, Mystery, Drama"
273,Mahoutsukai ni Taisetsu na Koto,"Slice of Life, Drama, Magic, Shounen"
274,Kiddy Grade,"Action, Sci-Fi, Super Power, Ecchi, Mecha"
275,Love♥Love?,"Ecchi, Comedy, Harem, Romance"
276,Mahoromatic: Automatic Maiden,"Comedy, Ecchi, Military, Romance, Sci-Fi"
277,Mahoromatic 2,"Comedy, Drama, Ecchi, Military, Romance, Sci-Fi"
278,Viewtiful Joe,"Action, Sci-Fi, Comedy, Shounen"
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural"
280,Animal Yokochou,"Adventure, Comedy, Fantasy, Shoujo"
281,Akane Maniax,"Comedy, Mecha, Romance"
282,Angel Heart,"Action, Mystery, Drama, Romance, Seinen"
283,Akage no Anne,"Slice of Life, Historical, Drama"
284,Area 88 (TV),"Action, Drama, Military, Romance, Shounen"
285,Argento Soma,"Action, Adventure, Drama, Mecha, Military, Sci-Fi"
286,B&#039;T X,"Adventure, Mecha, Sci-Fi, Shounen"
287,Grappler Baki (TV),"Action, Sports, Martial Arts, Shounen"
288,Bakuten Shoot Beyblade,"Action, Sci-Fi, Adventure, Comedy, Sports, Shounen"
289,Comic Party,"Comedy, Drama"
290,Seikai no Monshou,"Action, Military, Sci-Fi, Space, Romance"
291,D.C.S.S: Da Capo Second Season,"Comedy, Harem, Romance, Supernatural, Drama"
292,Dear Boys,"Drama, Shounen, Sports"
293,Di Gi Charat,"Comedy, Fantasy, Sci-Fi"
294,Divergence Eve,"Adventure, Comedy, Drama, Mecha, Military, Sci-Fi, Space"
295,Divergence Eve 2: Misaki Chronicles,"Adventure, Drama, Mecha, Military, Sci-Fi, Space"
296,Dragon Drive,"Action, Sci-Fi, Adventure, Comedy, Fantasy, School, Shounen"
297,Grenadier: Hohoemi no Senshi,"Action, Ecchi, Adventure, Comedy, Shounen"
298,.hack//Tasogare no Udewa Densetsu,"Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen"
299,.hack//Liminality,"Game, Mystery, Sci-Fi"
300,3x3 Eyes,"Action, Demons, Fantasy, Horror, Romance"
301,Cinderella Boy,"Action, Adventure, Mystery, Comedy, Seinen"
302,Mirai Shounen Conan,"Adventure, Drama, Sci-Fi"
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,"Comedy, Magic, Supernatural"
304,Aa! Megami-sama! Movie,"Comedy, Magic, Romance, Seinen, Supernatural"
305,Abashiri Ikka,"Action, Comedy, Shounen"
306,Abenobashi Mahou☆Shoutengai,"Comedy, Parody, Ecchi, Fantasy"
307,Kerokko Demetan,"Kids, Fantasy, Comedy"
308,Zettai Shounen,"Fantasy, Drama, Mystery, Sci-Fi, Shounen"
309,Akahori Gedou Hour Rabuge,"Comedy, Magic, Parody"
310,"Chiisana Obake Acchi, Kocchi, Socchi","Comedy, Supernatural"
311,Ace wo Nerae!,"Sports, Drama, Romance, School, Shoujo"
312,Ace wo Nerae!: Final Stage,"Action, Drama, Sports"
313,Ace wo Nerae! (1979),"Sports, Drama, Romance, School, Shoujo"
314,Ace wo Nerae! 2,"Drama, Shoujo, Sports"
315,Xiao Qian,"Action, Drama, Fantasy, Romance"
317,Final Fantasy VII: Advent Children,"Action, Super Power, Fantasy"
318,Hand Maid May,"Comedy, Ecchi, Harem, Romance, Sci-Fi"
319,Happy World!,"Ecchi, Fantasy, Comedy, Romance"
321,Najica Dengeki Sakusen,"Action, Ecchi, Comedy, Sci-Fi"
322,Paradise Kiss,"Slice of Life, Comedy, Drama, Romance, Josei"
323,Mousou Dairinin,"Mystery, Dementia, Police, Psychological, Supernatural, Drama, Thriller"
324,Kidou Keisatsu Patlabor: On Television,"Sci-Fi, Comedy, Police, Mecha"
325,Peach Girl,"Slice of Life, Drama, Romance, Shoujo"
326,Petshop of Horrors,"Horror, Josei, Mystery, Supernatural"
327,Puchi Pri*Yucie,"Comedy, Magic, Fantasy, Shoujo"
328,Piano,"Music, Slice of Life, Drama, Romance, Shoujo"
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space"
330,Midori no Hibi,"Comedy, Drama, Romance, Ecchi, Shounen"
331,Mahoujin Guruguru,"Adventure, Comedy, Magic, Fantasy, Shounen"
332,Dokidoki♡Densetsu: Mahoujin Guruguru,"Adventure, Comedy, Magic, Fantasy, Shounen"
333,Mama wa Shougaku 4 Nensei,"Comedy, Drama, Sci-Fi"
334,Marmalade Boy,"Comedy, Drama, Romance, Shoujo"
335,Matantei Loki Ragnarok,"Comedy, Magic, Mystery, Shounen, Supernatural"
336,Ginyuu Mokushiroku Meine Liebe,"Fantasy, Shoujo"
337,Psychic Academy,"Comedy, Romance, Supernatural"
338,Versailles no Bara,"Military, Historical, Drama, Romance, Shoujo"
339,Serial Experiments Lain,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural"
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,"Action, Historical, Martial Arts, Samurai, Shounen"
341,Spiral: Suiri no Kizuna,"Drama, Mystery, Shounen"
342,Starship Operators,"Drama, Military, Sci-Fi, Space"
343,Tsukuyomi: Moon Phase,"Comedy, Romance, Vampire, Fantasy, Seinen"
344,Futatsu no Spica,"Sci-Fi, Supernatural, Drama, School"
345,Eikoku Koi Monogatari Emma,"Slice of Life, Historical, Drama, Romance, Seinen"
346,W: Wish,"Drama, Harem, Romance, School, Slice of Life"
347,Wild Arms: Twilight Venom,"Action, Sci-Fi, Adventure, Magic, Vampire, Fantasy"
348,Binzume Yousei,"Comedy, Fantasy, Magic, Slice of Life"
349,Magical Canan,"Supernatural, Drama, Magic, Fantasy"
350,Ojamajo Doremi,"Comedy, Magic"
351,Ojamajo Doremi Sharp,"Comedy, Magic, Shoujo"
352,Motto! Ojamajo Doremi,"Magic, Fantasy, Comedy, Shoujo"
353,Ojamajo Doremi Dokkaan!,"Comedy, Magic, Shoujo"
354,UG☆Ultimate Girls,"Comedy, Ecchi, Magic, Sci-Fi"
355,Shakugan no Shana,"Action, Drama, Fantasy, Romance, School, Supernatural"
356,Fate/stay night,"Action, Supernatural, Magic, Romance, Fantasy"
357,Bokusatsu Tenshi Dokuro-chan,"Comedy, Ecchi, Magic"
358,"Iriya no Sora, UFO no Natsu","Sci-Fi, Drama, Romance"
359,I&#039;ll/CKBC,"Action, Sports, School, Shounen"
360,Himiko-den,"Adventure, Supernatural, Drama, Fantasy"
361,Memories Off,"Romance, Drama"
362,Memories Off 2nd,"Romance, Drama"
363,Memories Off 3.5,"Romance, Drama"
364,Gallery Fake,"Mystery, Seinen"
365,Fake,"Police, Comedy, Romance, Mystery, Shounen Ai"
366,AIKa,"Action, Ecchi, Adventure, Comedy, Sci-Fi"
367,Akazukin Chacha OVA,"Comedy, Fantasy, Magic"
369,Boogiepop wa Warawanai: Boogiepop Phantom,"Psychological, Supernatural, Dementia, Mystery, Horror, Drama"
370,Burn Up Excess,"Action, Adventure, Comedy, Ecchi, Police, Sci-Fi, Shounen"
371,Cardcaptor Sakura Movie 1,"Comedy, Drama, Fantasy, Magic, Shoujo"
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo"
373,Bannou Bunka Neko-Musume,"Sci-Fi, Adventure, Comedy, Mecha, Seinen"
374,Bannou Bunka Neko-Musume DASH!,"Action, Comedy, Ecchi, Romance, Sci-Fi"
375,Bannou Bunka Neko-Musume (1998),"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen"
376,Elfen Lied Special,"Horror, Psychological, Supernatural, Drama, Ecchi"
377,eX-Driver,"Action, Adventure, Cars, Comedy, Sci-Fi, Shounen"
378,eX-Driver the Movie,"Action, Adventure, Cars, Comedy, Sci-Fi, Shounen"
379,Heppoko Jikken Animation Excel♥Saga,"Comedy, Parody, Sci-Fi, Shounen"
380,Fushigi Yuugi OVA,"Adventure, Fantasy, Romance, Comedy, Historical, Shoujo"
381,Fushigi Yuugi OVA 2,"Adventure, Fantasy, Martial Arts, Romance, Historical, Drama, Shoujo"
382,Futari Ecchi,"Comedy, Ecchi, Romance, Seinen, Slice of Life"
383,Galaxy Angel,"Comedy, Sci-Fi"
