id,anime_id,title,type,producer,studio,genre,images
10,4814,Junjou Romantica 2,TV,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Studio Deen,"Comedy, Drama, Romance, Shounen Ai","{'https://cdn.myanimelist.net/images/anime/10/22603l.jpg', 'https://cdn.myanimelist.net/images/anime/13/22602l.jpg', 'https://cdn.myanimelist.net/images/anime/4/38415l.jpg', 'https://cdn.myanimelist.net/images/anime/6/38417l.jpg', 'https://cdn.myanimelist.net/images/anime/3/22604l.jpg', 'https://cdn.myanimelist.net/images/anime/3/22601l.jpg', 'https://cdn.myanimelist.net/images/anime/4/13327l.jpg'}"
11,7054,Kaichou wa Maid-sama!,TV,"Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",J.C.Staff,"Comedy, Romance, School, Shoujo","{'https://cdn.myanimelist.net/images/anime/3/27574l.jpg', 'https://cdn.myanimelist.net/images/anime/1682/94888l.jpg', 'https://cdn.myanimelist.net/images/anime/4/77174l.jpg', 'https://cdn.myanimelist.net/images/anime/10/25071l.jpg', 'https://cdn.myanimelist.net/images/anime/13/25156l.jpg', 'https://cdn.myanimelist.net/images/anime/6/25254l.jpg', 'https://cdn.myanimelist.net/images/anime/11/25155l.jpg', 'https://cdn.myanimelist.net/images/anime/8/26277l.jpg'}"
12,11123,Sekaiichi Hatsukoi 2,TV,"Lantis, Kadokawa Shoten, AT-X, KlockWorx",Studio Deen,"Comedy, Drama, Romance, Shounen Ai","{'https://cdn.myanimelist.net/images/anime/8/34871l.jpg', 'https://cdn.myanimelist.net/images/anime/8/39559l.jpg'}"
13,14227,Tonari no Kaibutsu-kun,TV,"TV Tokyo, Aniplex, Nihon Ad Systems, Kodansha",Brain&#039;s Base,"Slice of Life, Comedy, Romance, School, Shoujo","{'https://cdn.myanimelist.net/images/anime/11/43259l.jpg', 'https://cdn.myanimelist.net/images/anime/7/43257l.jpg', 'https://cdn.myanimelist.net/images/anime/13/55307l.jpg', 'https://cdn.myanimelist.net/images/anime/7/55305l.jpg', 'https://cdn.myanimelist.net/images/anime/9/45026l.jpg', 'https://cdn.myanimelist.net/images/anime/4/39779l.jpg', 'https://cdn.myanimelist.net/images/anime/3/55313l.jpg', 'https://cdn.myanimelist.net/images/anime/5/55309l.jpg', 'https://cdn.myanimelist.net/images/anime/13/55311l.jpg'}"
14,269,Bleach,TV,"TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Studio Kelmadick, Shueisha",Studio Pierrot,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen","{'https://cdn.myanimelist.net/images/anime/8/3552l.jpg', 'https://cdn.myanimelist.net/images/anime/2/19747l.jpg', 'https://cdn.myanimelist.net/images/anime/2/78197l.jpg', 'https://cdn.myanimelist.net/images/anime/12/29773l.jpg', 'https://cdn.myanimelist.net/images/anime/9/21683l.jpg', 'https://cdn.myanimelist.net/images/anime/3/40451l.jpg', 'https://cdn.myanimelist.net/images/anime/1957/107460l.jpg', 'https://cdn.myanimelist.net/images/anime/3/20349l.jpg', 'https://cdn.myanimelist.net/images/anime/3/24168l.jpg'}"
15,59,Chobits,TV,"TBS, Pioneer LDC",Madhouse,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen","{'https://cdn.myanimelist.net/images/anime/1/59l.jpg', 'https://cdn.myanimelist.net/images/anime/9/4939l.jpg', 'https://cdn.myanimelist.net/images/anime/10/6619l.jpg', 'https://cdn.myanimelist.net/images/anime/6/10169l.jpg', 'https://cdn.myanimelist.net/images/anime/11/51385l.jpg', 'https://cdn.myanimelist.net/images/anime/4/24648l.jpg', 'https://cdn.myanimelist.net/images/anime/13/10168l.jpg', 'https://cdn.myanimelist.net/images/anime/1467/92615l.jpg', 'https://cdn.myanimelist.net/images/anime/12/10167l.jpg'}"
16,6045,Kimi ni Todoke,TV,"VAP, Nippon Television Network, Shueisha",Production I.G,"Slice of Life, Drama, Romance, School, Shoujo","{'https://cdn.myanimelist.net/images/anime/7/19340l.jpg', 'https://cdn.myanimelist.net/images/anime/2/25328l.jpg', 'https://cdn.myanimelist.net/images/anime/12/19652l.jpg', 'https://cdn.myanimelist.net/images/anime/12/18621l.jpg', 'https://cdn.myanimelist.net/images/anime/11/21970l.jpg', 'https://cdn.myanimelist.net/images/anime/13/23654l.jpg', 'https://cdn.myanimelist.net/images/anime/7/17890l.jpg', 'https://cdn.myanimelist.net/images/anime/10/19687l.jpg', 'https://cdn.myanimelist.net/images/anime/10/24452l.jpg'}"
17,1735,Naruto: Shippuuden,TV,"TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha",Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen","{'https://cdn.myanimelist.net/images/anime/5/17407l.jpg', 'https://cdn.myanimelist.net/images/anime/9/59431l.jpg', 'https://cdn.myanimelist.net/images/anime/4/71532l.jpg', 'https://cdn.myanimelist.net/images/anime/2/50745l.jpg', 'https://cdn.myanimelist.net/images/anime/13/11194l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85122l.jpg', 'https://cdn.myanimelist.net/images/anime/5/22654l.jpg', 'https://cdn.myanimelist.net/images/anime/1565/111305l.jpg', 'https://cdn.myanimelist.net/images/anime/11/63249l.jpg', 'https://cdn.myanimelist.net/images/anime/1406/94611l.jpg', 'https://cdn.myanimelist.net/images/anime/4/80792l.jpg', 'https://cdn.myanimelist.net/images/anime/8/82294l.jpg', 'https://cdn.myanimelist.net/images/anime/3/79849l.jpg', 'https://cdn.myanimelist.net/images/anime/1434/111462l.jpg'}"
18,210,Ranma ½,TV,"Shogakukan Productions, Kitty Films, Fuji TV, Shogakukan",Studio Deen,"Slice of Life, Comedy, Martial Arts, Fantasy","{'https://cdn.myanimelist.net/images/anime/4/10972l.jpg', 'https://cdn.myanimelist.net/images/anime/1550/110235l.jpg', 'https://cdn.myanimelist.net/images/anime/13/6441l.jpg', 'https://cdn.myanimelist.net/images/anime/1/210l.jpg', 'https://cdn.myanimelist.net/images/anime/1169/93732l.jpg', 'https://cdn.myanimelist.net/images/anime/1766/95325l.jpg', 'https://cdn.myanimelist.net/images/anime/7/24237l.jpg', 'https://cdn.myanimelist.net/images/anime/11/6019l.jpg', 'https://cdn.myanimelist.net/images/anime/1637/92788l.jpg', 'https://cdn.myanimelist.net/images/anime/6/31575l.jpg', 'https://cdn.myanimelist.net/images/anime/9/31577l.jpg', 'https://cdn.myanimelist.net/images/anime/1085/109064l.jpg', 'https://cdn.myanimelist.net/images/anime/8/24842l.jpg', 'https://cdn.myanimelist.net/images/anime/5/40245l.jpg'}"
19,4224,Toradora!,TV,"Genco, Starchild Records, Magic Capsule, Yomiuri Advertising, TV Tokyo Music",J.C.Staff,"Slice of Life, Comedy, Romance, School","{'https://cdn.myanimelist.net/images/anime/1356/94686l.jpg', 'https://cdn.myanimelist.net/images/anime/9/79524l.jpg', 'https://cdn.myanimelist.net/images/anime/11/86891l.jpg', 'https://cdn.myanimelist.net/images/anime/5/22125l.jpg', 'https://cdn.myanimelist.net/images/anime/3/22727l.jpg', 'https://cdn.myanimelist.net/images/anime/13/22128l.jpg', 'https://cdn.myanimelist.net/images/anime/10/22724l.jpg', 'https://cdn.myanimelist.net/images/anime/2/18510l.jpg'}"
20,10030,Bakuman. 2nd Season,TV,"NHK, Shueisha",J.C.Staff,"Comedy, Drama, Romance, Shounen","{'https://cdn.myanimelist.net/images/anime/6/28986l.jpg', 'https://cdn.myanimelist.net/images/anime/3/34923l.jpg'}"
21,74,Gakuen Alice,TV,"Aniplex, Sogo Vision",Group TAC,"Comedy, School, Shoujo, Super Power","{'https://cdn.myanimelist.net/images/anime/12/18116l.jpg', 'https://cdn.myanimelist.net/images/anime/4/18118l.jpg', 'https://cdn.myanimelist.net/images/anime/5/25781l.jpg', 'https://cdn.myanimelist.net/images/anime/10/18117l.jpg', 'https://cdn.myanimelist.net/images/anime/7/20318l.jpg', 'https://cdn.myanimelist.net/images/anime/2/20590l.jpg', 'https://cdn.myanimelist.net/images/anime/8/20589l.jpg'}"
22,4722,Skip Beat!,TV,"Sotsu, Pony Canyon, Hakusensha, TV Tokyo Music",Hal Film Maker,"Comedy, Drama, Romance, Shoujo","{'https://cdn.myanimelist.net/images/anime/4/11912l.jpg', 'https://cdn.myanimelist.net/images/anime/3/21598l.jpg', 'https://cdn.myanimelist.net/images/anime/11/84022l.jpg', 'https://cdn.myanimelist.net/images/anime/8/20367l.jpg'}"
23,14397,Chihayafuru 2,TV,"VAP, Nippon Television Network",Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports","{'https://cdn.myanimelist.net/images/anime/1460/97103l.jpg', 'https://cdn.myanimelist.net/images/anime/6/47435l.jpg'}"
24,1557,Shounen Onmyouji,TV,"Sotsu, Marine Entertainment",Studio Deen,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo","{'https://cdn.myanimelist.net/images/anime/12/4692l.jpg', 'https://cdn.myanimelist.net/images/anime/12/4690l.jpg', 'https://cdn.myanimelist.net/images/anime/11/4688l.jpg', 'https://cdn.myanimelist.net/images/anime/13/4691l.jpg', 'https://cdn.myanimelist.net/images/anime/5/4694l.jpg', 'https://cdn.myanimelist.net/images/anime/1865/106109l.jpg', 'https://cdn.myanimelist.net/images/anime/5/4689l.jpg', 'https://cdn.myanimelist.net/images/anime/11/23852l.jpg', 'https://cdn.myanimelist.net/images/anime/4/4693l.jpg', 'https://cdn.myanimelist.net/images/anime/6/6859l.jpg'}"
25,10800,Chihayafuru,TV,"VAP, Nippon Television Network",Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports","{'https://cdn.myanimelist.net/images/anime/4/35047l.jpg', 'https://cdn.myanimelist.net/images/anime/5/35557l.jpg', 'https://cdn.myanimelist.net/images/anime/3/35749l.jpg', 'https://cdn.myanimelist.net/images/anime/12/38425l.jpg', 'https://cdn.myanimelist.net/images/anime/12/36645l.jpg', 'https://cdn.myanimelist.net/images/anime/12/39671l.jpg', 'https://cdn.myanimelist.net/images/anime/8/37915l.jpg', 'https://cdn.myanimelist.net/images/anime/7/36647l.jpg'}"
26,3731,Itazura na Kiss,TV,"Bandai Visual, Trinity Sound",TMS Entertainment,"Comedy, Romance, Shoujo","{'https://cdn.myanimelist.net/images/anime/10/19933l.jpg', 'https://cdn.myanimelist.net/images/anime/5/41207l.jpg', 'https://cdn.myanimelist.net/images/anime/13/8100l.jpg', 'https://cdn.myanimelist.net/images/anime/4/36643l.jpg', 'https://cdn.myanimelist.net/images/anime/8/17358l.jpg'}"
27,9513,Beelzebub,TV,"Studio Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",Pierrot Plus,"Action, Comedy, Demons, Supernatural, School, Shounen","{'https://cdn.myanimelist.net/images/anime/10/31857l.jpg', 'https://cdn.myanimelist.net/images/anime/9/31853l.jpg', 'https://cdn.myanimelist.net/images/anime/3/28013l.jpg', 'https://cdn.myanimelist.net/images/anime/12/31855l.jpg'}"
28,5835,Hanasakeru Seishounen,TV,,Studio Pierrot,"Drama, Romance, Shoujo","{'https://cdn.myanimelist.net/images/anime/5/23657l.jpg', 'https://cdn.myanimelist.net/images/anime/2/23659l.jpg', 'https://cdn.myanimelist.net/images/anime/9/23658l.jpg', 'https://cdn.myanimelist.net/images/anime/5/17085l.jpg', 'https://cdn.myanimelist.net/images/anime/6/22695l.jpg', 'https://cdn.myanimelist.net/images/anime/2/16647l.jpg', 'https://cdn.myanimelist.net/images/anime/4/23656l.jpg', 'https://cdn.myanimelist.net/images/anime/7/37237l.jpg'}"
29,9863,SKET Dance,TV,"TV Tokyo, Avex Entertainment, Dentsu",Tatsunoko Production,"Comedy, School, Shounen","{'https://cdn.myanimelist.net/images/anime/2/40763l.jpg', 'https://cdn.myanimelist.net/images/anime/9/73974l.jpg', 'https://cdn.myanimelist.net/images/anime/13/32041l.jpg', 'https://cdn.myanimelist.net/images/anime/3/32043l.jpg', 'https://cdn.myanimelist.net/images/anime/13/31647l.jpg'}"
30,7817,B-gata H-kei,TV,"Dentsu, AT-X, DAX Production, Happinet Pictures, BIGLOBE, Shueisha, AG-ONE, RAY","Hal Film Maker, TYO Animations","Comedy, Romance, Ecchi, School, Seinen","{'https://cdn.myanimelist.net/images/anime/4/23164l.jpg', 'https://cdn.myanimelist.net/images/anime/6/40683l.jpg', 'https://cdn.myanimelist.net/images/anime/4/75227l.jpg', 'https://cdn.myanimelist.net/images/anime/3/36149l.jpg', 'https://cdn.myanimelist.net/images/anime/3/24771l.jpg'}"
31,966,Crayon Shin-chan,TV,TV Asahi,Shin-Ei Animation,"Slice of Life, Comedy, Ecchi, School, Seinen","{'https://cdn.myanimelist.net/images/anime/4/61223l.jpg', 'https://cdn.myanimelist.net/images/anime/10/59897l.jpg', 'https://cdn.myanimelist.net/images/anime/5/8653l.jpg', 'https://cdn.myanimelist.net/images/anime/6/22186l.jpg', 'https://cdn.myanimelist.net/images/anime/10/13917l.jpg', 'https://cdn.myanimelist.net/images/anime/2/39949l.jpg', 'https://cdn.myanimelist.net/images/anime/10/3254l.jpg'}"
32,120,Fruits Basket,TV,"TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo","{'https://cdn.myanimelist.net/images/anime/8/22489l.jpg', 'https://cdn.myanimelist.net/images/anime/4/75204l.jpg', 'https://cdn.myanimelist.net/images/anime/8/83377l.jpg', 'https://cdn.myanimelist.net/images/anime/4/20797l.jpg', 'https://cdn.myanimelist.net/images/anime/12/22945l.jpg', 'https://cdn.myanimelist.net/images/anime/9/20798l.jpg'}"
33,957,Saiunkoku Monogatari,TV,"NHK, Sogo Vision",Madhouse,"Adventure, Fantasy, Comedy, Romance, Historical, Drama","{'https://cdn.myanimelist.net/images/anime/9/4921l.jpg', 'https://cdn.myanimelist.net/images/anime/12/8880l.jpg', 'https://cdn.myanimelist.net/images/anime/4/4919l.jpg', 'https://cdn.myanimelist.net/images/anime/11/9139l.jpg', 'https://cdn.myanimelist.net/images/anime/12/9138l.jpg', 'https://cdn.myanimelist.net/images/anime/1/957l.jpg', 'https://cdn.myanimelist.net/images/anime/2/18004l.jpg', 'https://cdn.myanimelist.net/images/anime/11/10748l.jpg', 'https://cdn.myanimelist.net/images/anime/4/20777l.jpg'}"
34,21,One Piece,TV,"Fuji TV, TAP, Shueisha",Toei Animation,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen","{'https://cdn.myanimelist.net/images/anime/12/74043l.jpg', 'https://cdn.myanimelist.net/images/anime/5/20871l.jpg', 'https://cdn.myanimelist.net/images/anime/1460/110427l.jpg', 'https://cdn.myanimelist.net/images/anime/6/73245l.jpg', 'https://cdn.myanimelist.net/images/anime/1289/111178l.jpg', 'https://cdn.myanimelist.net/images/anime/1178/92469l.jpg', 'https://cdn.myanimelist.net/images/anime/1315/93821l.jpg', 'https://cdn.myanimelist.net/images/anime/5/19084l.jpg', 'https://cdn.myanimelist.net/images/anime/5/19082l.jpg', 'https://cdn.myanimelist.net/images/anime/10/66965l.jpg', 'https://cdn.myanimelist.net/images/anime/1386/100624l.jpg', 'https://cdn.myanimelist.net/images/anime/11/20870l.jpg', 'https://cdn.myanimelist.net/images/anime/7/56951l.jpg', 'https://cdn.myanimelist.net/images/anime/1460/109155l.jpg'}"
35,1974,Glass no Kamen (2005),TV,"TMS Entertainment, MediaNet",Tokyo Movie Shinsha,"Drama, Shoujo","{'https://cdn.myanimelist.net/images/anime/1/2043l.jpg', 'https://cdn.myanimelist.net/images/anime/7/75061l.jpg', 'https://cdn.myanimelist.net/images/anime/11/29094l.jpg'}"
36,857,Air Gear,TV,"Marvelous, Kodansha",Toei Animation,"Action, Comedy, Ecchi, Shounen, Sports","{'https://cdn.myanimelist.net/images/anime/6/8381l.jpg', 'https://cdn.myanimelist.net/images/anime/10/36489l.jpg', 'https://cdn.myanimelist.net/images/anime/11/18227l.jpg', 'https://cdn.myanimelist.net/images/anime/2/8382l.jpg', 'https://cdn.myanimelist.net/images/anime/5/18201l.jpg', 'https://cdn.myanimelist.net/images/anime/5/4726l.jpg'}"
37,1914,Saiunkoku Monogatari 2nd Season,TV,"NHK, Sogo Vision",Madhouse,"Adventure, Comedy, Drama, Fantasy, Historical, Romance","{'https://cdn.myanimelist.net/images/anime/5/73277l.jpg', 'https://cdn.myanimelist.net/images/anime/7/15931l.jpg', 'https://cdn.myanimelist.net/images/anime/6/14332l.jpg'}"
38,249,InuYasha,TV,"Yomiuri Telecasting, Shogakukan",Sunrise,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen","{'https://cdn.myanimelist.net/images/anime/9/7566l.jpg', 'https://cdn.myanimelist.net/images/anime/9/50357l.jpg', 'https://cdn.myanimelist.net/images/anime/1589/95329l.jpg', 'https://cdn.myanimelist.net/images/anime/12/20482l.jpg', 'https://cdn.myanimelist.net/images/anime/12/21363l.jpg', 'https://cdn.myanimelist.net/images/anime/1606/97606l.jpg', 'https://cdn.myanimelist.net/images/anime/4/81393l.jpg', 'https://cdn.myanimelist.net/images/anime/1891/94372l.jpg', 'https://cdn.myanimelist.net/images/anime/8/20483l.jpg', 'https://cdn.myanimelist.net/images/anime/1/249l.jpg', 'https://cdn.myanimelist.net/images/anime/1357/97605l.jpg', 'https://cdn.myanimelist.net/images/anime/1685/94371l.jpg', 'https://cdn.myanimelist.net/images/anime/7/6585l.jpg', 'https://cdn.myanimelist.net/images/anime/10/18609l.jpg'}"
39,6645,Chu-Bra!!,TV,GANSIS,Zexcs,"Ecchi, Comedy, School, Seinen","{'https://cdn.myanimelist.net/images/anime/4/33263l.jpg', 'https://cdn.myanimelist.net/images/anime/11/19876l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19877l.jpg', 'https://cdn.myanimelist.net/images/anime/1130/91352l.jpg', 'https://cdn.myanimelist.net/images/anime/13/18908l.jpg', 'https://cdn.myanimelist.net/images/anime/8/18909l.jpg', 'https://cdn.myanimelist.net/images/anime/2/18905l.jpg', 'https://cdn.myanimelist.net/images/anime/11/18907l.jpg'}"
40,5690,Nodame Cantabile Finale,TV,"Fuji TV, Sony Music Entertainment",J.C.Staff,"Comedy, Josei, Music, Romance",{'https://cdn.myanimelist.net/images/anime/4/20712l.jpg'}
41,1571,Ghost Hunt,TV,"TV Tokyo, Avex Entertainment, Marvelous, Delfi Sound",J.C.Staff,"Comedy, Horror, Mystery, Shoujo, Supernatural","{'https://cdn.myanimelist.net/images/anime/4/74240l.jpg', 'https://cdn.myanimelist.net/images/anime/11/73908l.jpg', 'https://cdn.myanimelist.net/images/anime/10/11737l.jpg', 'https://cdn.myanimelist.net/images/anime/6/71867l.jpg', 'https://cdn.myanimelist.net/images/anime/2/59773l.jpg'}"
42,11759,Accel World,TV,"Genco, Rakuonsha, Warner Bros., flying DOG, ASCII Media Works",Sunrise,"Action, Game, Sci-Fi, Romance, School","{'https://cdn.myanimelist.net/images/anime/10/55891l.jpg', 'https://cdn.myanimelist.net/images/anime/5/43327l.jpg', 'https://cdn.myanimelist.net/images/anime/6/55231l.jpg', 'https://cdn.myanimelist.net/images/anime/8/38155l.jpg', 'https://cdn.myanimelist.net/images/anime/10/43249l.jpg', 'https://cdn.myanimelist.net/images/anime/6/55233l.jpg'}"
43,7674,Bakuman.,TV,"NHK, Shueisha",J.C.Staff,"Comedy, Drama, Romance, Shounen","{'https://cdn.myanimelist.net/images/anime/8/41375l.jpg', 'https://cdn.myanimelist.net/images/anime/11/41377l.jpg', 'https://cdn.myanimelist.net/images/anime/6/26138l.jpg', 'https://cdn.myanimelist.net/images/anime/9/24403l.jpg'}"
44,1698,Nodame Cantabile,TV,"Dentsu, Genco, Kodansha, Fuji TV, Magic Capsule, Sony Music Entertainment, Fuji Pacific Music Publishing",J.C.Staff,"Music, Slice of Life, Comedy, Drama, Romance, Josei","{'https://cdn.myanimelist.net/images/anime/9/11986l.jpg', 'https://cdn.myanimelist.net/images/anime/11/13653l.jpg', 'https://cdn.myanimelist.net/images/anime/1274/92049l.jpg'}"
45,14713,Kamisama Hajimemashita,TV,"TV Tokyo, Dentsu, Sotsu, Pony Canyon, Hakusensha, DAX Production",TMS Entertainment,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo","{'https://cdn.myanimelist.net/images/anime/2/85332l.jpg', 'https://cdn.myanimelist.net/images/anime/4/85427l.jpg', 'https://cdn.myanimelist.net/images/anime/3/85429l.jpg'}"
46,232,Cardcaptor Sakura,TV,"NHK, Kodansha, Sogo Vision, YTV",Madhouse,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo","{'https://cdn.myanimelist.net/images/anime/13/14516l.jpg', 'https://cdn.myanimelist.net/images/anime/8/60781l.jpg', 'https://cdn.myanimelist.net/images/anime/2/68199l.jpg', 'https://cdn.myanimelist.net/images/anime/1701/91903l.jpg', 'https://cdn.myanimelist.net/images/anime/3/33525l.jpg', 'https://cdn.myanimelist.net/images/anime/1002/91959l.jpg', 'https://cdn.myanimelist.net/images/anime/6/6409l.jpg', 'https://cdn.myanimelist.net/images/anime/4/33519l.jpg', 'https://cdn.myanimelist.net/images/anime/1/232l.jpg', 'https://cdn.myanimelist.net/images/anime/10/61117l.jpg'}"
47,233,Daa! Daa! Daa!,TV,,J.C.Staff,"Comedy, Sci-Fi, Shoujo","{'https://cdn.myanimelist.net/images/anime/6/15295l.jpg', 'https://cdn.myanimelist.net/images/anime/7/14856l.jpg', 'https://cdn.myanimelist.net/images/anime/3/21166l.jpg', 'https://cdn.myanimelist.net/images/anime/3/16212l.jpg', 'https://cdn.myanimelist.net/images/anime/12/15354l.jpg'}"
48,9656,Kimi ni Todoke 2nd Season,TV,"VAP, Nippon Television Network, Shueisha",Production I.G,"Slice of Life, Drama, Romance, School, Shoujo","{'https://cdn.myanimelist.net/images/anime/10/28813l.jpg', 'https://cdn.myanimelist.net/images/anime/8/69177l.jpg', 'https://cdn.myanimelist.net/images/anime/5/27993l.jpg', 'https://cdn.myanimelist.net/images/anime/5/26793l.jpg', 'https://cdn.myanimelist.net/images/anime/8/27174l.jpg'}"
